case_number,type_of_intake
CAS-02907-P8W3G8,External Agency
CAS-02997-G3V4X2,External Agency
CAS-02847-W5F2J4,Direct Intake
CAS-02895-S8M8V4,Direct Intake
CAS-02856-Q2V9V5,External Agency
CAS-02331-T6Y2B4,Direct Intake
CAS-02405-P0L6Q5,External Agency
CAS-02252-P8L3J5,Direct Intake
CAS-02560-G4N8F2,External Agency
CAS-02535-D3W5W7,Direct Intake
CAS-02616-R1N0H1,External Agency
CAS-02352-R6Y6L1,Direct Intake
CAS-02322-M6K0G3,External Agency
CAS-02655-K5T7L8,External Agency
CAS-02863-K2Q2F6,External Agency
CAS-02108-R7F1D2,Direct Intake
CAS-02827-R8N3H1,External Agency
CAS-02791-F9F5Q8,Direct Intake
CAS-02941-N2T7B1,External Agency
CAS-02119-R7W6V0,External Agency
CAS-02129-D6M6V4,Courts
CAS-02407-B6H7Q4,Courts
CAS-02966-L5K9S7,Courts
CAS-02599-C5B1L9,Courts
CAS-01981-L0J9B2,Courts
CAS-02538-G0D8B1,Courts
CAS-02784-M8Q0F9,Direct Intake
CAS-03016-H5X5K4,External Agency
CAS-03003-J7H2S8,External Agency
CAS-02909-Q3T4L2,Direct Intake
CAS-02577-K9C4J1,Direct Intake
CAS-02292-B6F0Y5,External Agency
CAS-02933-V6Z1P0,Courts
CAS-02536-L7Z8M3,Courts
CAS-02444-H9P8B5,Courts
CAS-02706-T5C8J1,Courts
CAS-02435-V0R1X0,Courts
CAS-02649-R9Z4C2,Courts
CAS-02610-Z4C8K0,External Agency
