case_number,type_of_intake
CAS-02578-W9Y4H9,External Agency
CAS-02604-X5N7D5,External Agency
CAS-02814-V2X0Z0,Courts
CAS-02849-M6T1B3,Courts
CAS-02936-N0N9L3,Courts
CAS-02122-J0F0K3,Courts
CAS-02818-S3B1N5,External Agency
CAS-03034-V6K9W0,External Agency
CAS-02443-R7J4D1,External Agency
CAS-02125-V1H6S7,Direct Intake
CAS-02188-L5R7W3,Courts
CAS-02529-J7N5Z6,External Agency
CAS-01988-B1Z9H7,External Agency
CAS-02429-H4K2V4,External Agency
CAS-02276-P2D4S0,Direct Intake
CAS-02874-F1C7W3,Direct Intake
CAS-02775-G8W0Z6,External Agency
CAS-01997-Z6Z3H2,Direct Intake
CAS-02906-V2L1Q1,Direct Intake
CAS-01984-F6Z3Z8,Direct Intake
CAS-02341-Z7X6L6,Direct Intake
CAS-02113-D6D0N4,Courts
CAS-02104-W7N6P1,Courts
CAS-02273-Q1J0L8,Courts
CAS-02611-D1L2V1,Courts
CAS-02126-Q9R0G6,Courts
CAS-02664-Y8P5G7,Courts
CAS-02848-K3D5B0,External Agency
CAS-02800-C0R0N8,External Agency
CAS-02388-H2T6T4,Direct Intake
CAS-02662-K1H4X7,Direct Intake
CAS-02265-Y0J9Y6,External Agency
CAS-02271-X9D9J1,External Agency
CAS-02397-S1P1C3,Direct Intake
CAS-02489-B5G0F2,Courts
CAS-02451-B6H1W5,Courts
CAS-01989-S7C9G0,External Agency
CAS-02084-D5G1H1,Direct Intake
CAS-02430-C5X9R7,External Agency
CAS-02431-N3W9F9,External Agency
CAS-03014-F7X5Z7,External Agency
CAS-02455-Q3H6N4,Direct Intake
CAS-02456-M6Z2D2,External Agency
CAS-02777-Y6H6C7,External Agency
CAS-02287-X1D6X6,Direct Intake
CAS-02476-X9H6G9,External Agency
CAS-02159-K6D1P9,External Agency
CAS-02232-P4J9S6,External Agency
CAS-02019-S8R5W9,Courts
CAS-02198-B9S0F9,Courts
CAS-02783-V8Q2R4,Courts
CAS-02093-S7H7M3,Courts
CAS-02884-C7C6T6,External Agency
CAS-02598-W8H1F4,External Agency
CAS-02665-J3S8B1,External Agency
CAS-03033-L7K0M3,Direct Intake
CAS-02410-B4V4H9,External Agency
CAS-02799-P2D8N4,Direct Intake
CAS-02971-H8V9F0,External Agency
CAS-02137-V3S3B3,External Agency
CAS-02380-W7H4G5,Direct Intake
CAS-02359-G8H7Z4,Direct Intake
CAS-02348-K3R6M2,External Agency
CAS-02868-T9T6B0,External Agency
CAS-02837-V8G2M2,External Agency
CAS-02493-G0J7Z5,External Agency
CAS-02434-Z7S5Y7,External Agency
CAS-02471-M5C5P3,Direct Intake
CAS-02547-G5H5K8,External Agency
CAS-02614-P8M5Y7,External Agency
CAS-02696-J7D1S1,Direct Intake
CAS-02207-W1P5Z6,Direct Intake
CAS-02208-J0X5P1,Direct Intake
CAS-02035-K1C0D1,Direct Intake
CAS-02416-Z6Q6V1,Courts
CAS-02684-Z0G0X6,Courts
CAS-02652-R2D9B2,Courts
CAS-02491-J0G3C4,Courts
CAS-02561-P4W0Y5,Courts
CAS-02174-S9H7X7,External Agency
CAS-02583-N6N7L5,Courts
CAS-02022-L9L8B8,Courts
CAS-02700-G2Z6M0,Courts
CAS-03038-V4Z4Z9,Courts
CAS-02595-J7G5B1,Courts
CAS-02630-V0M7L3,Courts
CAS-02114-B9D7L4,External Agency
CAS-03010-K3Q9V9,External Agency
CAS-02642-Q7N7Y3,Direct Intake
CAS-02591-R8X3N6,Courts
CAS-02201-H4R7L9,Courts
CAS-02279-V7H3P6,Courts
CAS-02288-Z6M0F1,Courts
CAS-02142-B6B9C2,Courts
CAS-02228-V9M8Z2,Courts
CAS-02076-K9M9W1,External Agency
CAS-02934-L7D2V3,External Agency
CAS-02607-Y2F4F2,External Agency
CAS-02744-P8K1H6,External Agency
CAS-02838-Q5X4V3,External Agency
CAS-02103-N3C7D8,External Agency
CAS-02036-S4J8C0,Direct Intake
CAS-02557-H9B5Q3,External Agency
CAS-02828-W5K7G1,External Agency
CAS-02258-K3P6D7,Direct Intake
CAS-02346-G6R8M1,Courts
CAS-02196-J4N4D5,Courts
CAS-02117-P1T1J5,Courts
CAS-02254-J9R8T7,Courts
CAS-02138-Z2W8C7,Courts
CAS-02722-Q6G6V5,Courts
CAS-02153-C2N6P1,External Agency
CAS-02237-R7B3D5,External Agency
CAS-02408-F0V9W7,External Agency
CAS-02892-F8S4K4,Direct Intake
CAS-02761-R4H7P7,External Agency
CAS-02047-D2Z8S7,External Agency
CAS-02048-N0S3F4,External Agency
CAS-02935-Q4R2L9,Direct Intake
CAS-02314-M0W1Z5,External Agency
CAS-02395-J1C0Y1,Direct Intake
CAS-02976-V5M1X8,External Agency
CAS-02399-P8G4Q1,Courts
CAS-02130-J4Z1C7,Courts
CAS-02377-C6F9Y2,Courts
CAS-02283-T9G6V4,Courts
CAS-02512-Z8D6X1,Courts
CAS-02349-W1M8G9,Courts
CAS-02689-G8C0M7,External Agency
CAS-02870-T7K9J6,Direct Intake
CAS-02467-N0K0N0,Direct Intake
CAS-02385-C1J1L5,Direct Intake
CAS-02717-B7X2N0,Courts
CAS-02238-Q8W6S4,Courts
CAS-02332-K5Z5Z1,Courts
CAS-02062-S4F2H8,Courts
CAS-02164-X7D8K9,Courts
CAS-02581-H3R9M3,Courts
CAS-02816-P4N2J2,Courts
CAS-01995-V0H8C9,Courts
CAS-02361-F8F9W6,Courts
CAS-02582-N3S3D9,Courts
CAS-02110-M6X1F7,Courts
CAS-01979-Q2X2G9,Courts
CAS-02064-M2B1Z9,External Agency
CAS-02209-Q8Y8K5,External Agency
CAS-02278-Z4Z0L8,Direct Intake
CAS-02384-H2W7J5,Direct Intake
CAS-02918-X7B7Z3,Courts
CAS-02319-J5H1S0,Courts
CAS-02885-Y7W0K9,Courts
CAS-02077-X8Z4S8,Courts
CAS-02871-M4Q8Q3,Courts
CAS-02106-C8P4H1,Courts
CAS-02958-G0J7P0,External Agency
CAS-02942-Y9B5B0,External Agency
CAS-02979-G0F0G2,External Agency
CAS-02250-H9J0D5,Courts
CAS-02714-G9K1L6,Courts
CAS-02428-L9H6R4,Courts
CAS-02454-K9Z3N9,Courts
CAS-02411-Y3Q5K7,Courts
CAS-02656-R1R0X1,Courts
CAS-02872-L7L4X7,External Agency
CAS-03000-G6X1X6,External Agency
CAS-02011-L1J8T8,Direct Intake
CAS-02099-D6R3R5,Direct Intake
CAS-02551-C4T7P4,External Agency
CAS-02668-R8X6P7,External Agency
CAS-02795-X5S0D3,External Agency
CAS-02813-M0Y0F1,External Agency
CAS-02031-Q8Q6S4,External Agency
CAS-02095-H7B7G5,External Agency
CAS-02623-G1S1Y7,Direct Intake
CAS-03030-D3M6X8,Direct Intake
CAS-02437-G6B5J1,External Agency
CAS-02024-T5S9N2,Direct Intake
CAS-02115-J0N4V6,External Agency
CAS-02144-F2T6D0,Direct Intake
CAS-02282-W3K0X9,Direct Intake
CAS-02496-P6V2W6,External Agency
CAS-02723-J3L5D1,Direct Intake
CAS-03039-K8N0F9,Courts
CAS-02224-W0X7Z3,Courts
CAS-02737-X5B6W2,Courts
CAS-02887-C7P4B2,Courts
CAS-02705-T3P4V2,Courts
CAS-02570-D5X0V5,External Agency
CAS-02657-B4J4K0,Direct Intake
CAS-02712-F1D8P8,Direct Intake
CAS-02264-R2P9R4,Direct Intake
CAS-02105-X2Q1G9,Direct Intake
CAS-02312-Z2D0S0,Courts
CAS-02886-G4Z1N6,Courts
CAS-02215-G1Y9P0,Direct Intake
CAS-02948-N3K2H2,External Agency
CAS-02340-C4X6S8,External Agency
CAS-02068-M8V4P6,External Agency
CAS-02057-T0V2W9,Direct Intake
CAS-02683-P7V5G4,External Agency
CAS-02412-L3P2J3,External Agency
CAS-02233-G0J2W2,External Agency
CAS-02479-C3Z2F5,Direct Intake
CAS-02669-T4N7H5,External Agency
CAS-02081-Y2G4S4,External Agency
CAS-02492-V7L9T5,External Agency
CAS-02323-H9Y2T2,External Agency
CAS-02889-K7G1H6,Direct Intake
CAS-01992-W9T9X6,Direct Intake
CAS-02124-G1D4B6,Direct Intake
CAS-02101-Q0V3V1,Courts
CAS-02392-D6K6G8,Courts
CAS-02901-H8J2X8,Courts
CAS-02186-G6L9S9,Courts
CAS-02490-Q2M0H3,Courts
CAS-02820-Y5F6G5,External Agency
CAS-02819-G2D9L3,External Agency
CAS-02593-S2G0G7,Direct Intake
CAS-02873-F2B9W0,Direct Intake
CAS-02049-K7Q8H8,Direct Intake
CAS-02118-S1N4H6,Direct Intake
CAS-02334-Z8W2Z6,Direct Intake
CAS-02107-Z7H9S9,Courts
CAS-02139-F2P5D8,Courts
CAS-02486-D4Q0Y7,Courts
CAS-02559-Y9W9T4,Courts
CAS-02418-M1C6Y3,Courts
CAS-02169-Q9P5R7,Courts
CAS-02924-M6P6T3,External Agency
CAS-02677-Y4W2F3,Direct Intake
CAS-02400-N1F4C6,External Agency
CAS-02050-W2H8J4,Direct Intake
CAS-01975-Q0K7V6,External Agency
CAS-02484-W8W0M0,External Agency
CAS-02205-S9Q8K5,External Agency
CAS-02004-B5G4N0,External Agency
CAS-02643-J5N8P7,External Agency
CAS-02835-L9W0Q1,Direct Intake
CAS-02952-B0G9B5,External Agency
CAS-02947-S2K9J2,Courts
CAS-02044-K1P5T9,Direct Intake
CAS-02588-V9R5F6,Direct Intake
CAS-02368-Y6S4H2,Direct Intake
CAS-02658-F8L5B5,Courts
CAS-02272-H6V3J5,Courts
CAS-02566-S3W4F6,Courts
CAS-02020-Y0D3G3,External Agency
CAS-02369-W5R6V5,External Agency
CAS-02470-M2W1S5,Direct Intake
CAS-02985-M6T4L6,External Agency
CAS-02908-G9K2S5,External Agency
CAS-03036-Q5P1B2,External Agency
CAS-02904-B9X8T5,External Agency
CAS-02301-M7D6B5,Direct Intake
CAS-02112-Q9Q3Q4,External Agency
CAS-02211-R0P1P3,External Agency
CAS-02463-V0T3J1,Direct Intake
CAS-02343-P6G6V5,Direct Intake
CAS-02977-L0C1R2,External Agency
CAS-02694-M2T4Q0,Direct Intake
CAS-02574-L5X5T3,External Agency
CAS-02996-H4F7G0,External Agency
CAS-02567-L2X3M4,Direct Intake
CAS-02155-W1K0L6,External Agency
CAS-02690-X7K1Y8,Courts
CAS-02045-W2L4Q7,Courts
CAS-02280-V1G2S6,Courts
CAS-02375-J9F3V1,Courts
CAS-02321-P7Y3R8,Courts
CAS-02391-C7P6N6,Courts
CAS-02970-G1G2Z0,External Agency
CAS-02367-X1Z4G2,Direct Intake
CAS-02465-B0B1P1,External Agency
CAS-02615-N2W1J7,Courts
CAS-02626-H6N0R0,Courts
CAS-02147-S6D2D8,Courts
CAS-02088-V4W3Y9,Courts
CAS-02247-N6N7M9,Courts
CAS-02673-L9H2C6,External Agency
CAS-02083-S9N0V8,Direct Intake
CAS-02378-C4T8H5,Courts
CAS-02200-Q2Y0V5,Courts
CAS-02533-X3N9J5,Courts
CAS-02919-S9P3Q8,Courts
CAS-02762-P3B3D0,Courts
CAS-02069-P8J7C2,Courts
CAS-02982-R4K6P9,External Agency
CAS-03035-N9L4L8,External Agency
CAS-02556-N1D4T8,Direct Intake
CAS-02180-D2S8Q3,Direct Intake
CAS-02986-P7L3D7,External Agency
CAS-02879-W2P6L8,External Agency
CAS-02478-M6Z0X2,Direct Intake
CAS-02063-B1V0P9,External Agency
CAS-02025-K8L7Z1,Direct Intake
CAS-02772-X4Z4N4,Direct Intake
CAS-02620-C9H6W4,External Agency
CAS-02974-D7Z4Z1,External Agency
CAS-02953-Y9K4Q3,Direct Intake
CAS-02136-P7Z8N6,External Agency
CAS-01974-P4Y3P1,Courts
CAS-02480-G8Q0W0,Courts
CAS-02821-W1N7Y6,Courts
CAS-02646-S1V4T2,Courts
CAS-02304-W7Q5Q3,Courts
CAS-02758-Z7Z0T2,Courts
CAS-02447-V2G4T7,Direct Intake
CAS-02248-Z3S0V6,Direct Intake
CAS-02026-H8L3X1,Courts
CAS-02393-G0N0B0,Courts
CAS-02203-F6Z5R8,Courts
CAS-02270-M5R3R5,Courts
CAS-02360-Y8C4N2,Courts
CAS-02584-D8S3C7,Courts
CAS-02531-F6W8G4,External Agency
CAS-03027-S3B0X8,External Agency
CAS-02644-R8S1C7,External Agency
CAS-02903-G3V5T8,External Agency
CAS-02291-N6W9Y0,External Agency
CAS-02596-P8Z2X5,Courts
CAS-02317-X5R0V0,Courts
CAS-01980-V0H0L5,Courts
CAS-02473-R4V7N3,Courts
CAS-02338-G3S2D7,Courts
CAS-02949-L6N3Q5,Courts
CAS-02009-L1D9G0,External Agency
CAS-02018-Y0C0Z5,Direct Intake
CAS-02679-N8G3L4,External Agency
CAS-02636-Q4S3L3,External Agency
CAS-02461-C1D6Y0,External Agency
CAS-02131-K5G5N4,External Agency
CAS-02165-C2S3Y8,External Agency
CAS-02195-P2K0J8,External Agency
CAS-02851-N0R3D2,Courts
CAS-02223-W4C9Y3,Courts
CAS-02875-T5L2Z3,Courts
CAS-02515-L9R6L7,Courts
CAS-02488-C4N4Y5,Courts
CAS-02409-M5F9P5,Courts
CAS-02860-C0V1L7,External Agency
CAS-02545-L6N5M1,External Agency
CAS-02639-G5F6L1,External Agency
CAS-02793-D7K1P6,External Agency
CAS-02878-D6S6J2,External Agency
CAS-02980-C9N9J8,External Agency
CAS-02776-T6P3W3,External Agency
CAS-02277-D0F9F7,External Agency
CAS-02590-J7M6H1,Direct Intake
CAS-02786-V9H0Q6,External Agency
CAS-02792-Y0V1P4,Direct Intake
CAS-02151-C6L2L4,External Agency
CAS-02945-Z2F2G6,Direct Intake
CAS-01013-Z6K4N3,Direct Intake
CAS-01063-F2P3X1,External Agency
CAS-01014-V6D9W8,Courts
CAS-01064-F4F3L2,External Agency
CAS-01015-K6H0W9,Courts
CAS-01017-K5M8S0,Courts
CAS-01018-V5H8T9,Courts
CAS-01019-S7H6H7,Courts
CAS-01020-M8G4V9,Courts
CAS-01021-P8R0X4,Courts
CAS-01022-T1B3Z9,Courts
CAS-01023-S7H9H6,Courts
CAS-01024-D9X9M8,Courts
CAS-01025-S4Y4Y1,Courts
CAS-01027-F2Z7G7,Courts
CAS-01065-J2D1V3,External Agency
CAS-01068-D3Z1V1,External Agency
CAS-01031-R1V6V0,Courts
CAS-01032-W5Z6R4,Courts
CAS-01033-B6C8G7,Courts
CAS-01034-X6J3R4,Courts
CAS-01035-N9H2L9,Courts
CAS-01036-Q9Y9Y6,Courts
CAS-01037-L6Q8T2,Courts
CAS-01038-T5B8F8,Courts
CAS-01039-D6Z5V4,Courts
CAS-01042-P5C2D2,Courts
CAS-01044-J5Z8L3,Courts
CAS-01045-G4Z4K9,Courts
CAS-01046-Q2D9D9,Courts
CAS-01047-Q4C9B7,Courts
CAS-01048-T5Q5T3,Courts
CAS-01049-B7D9F4,Courts
CAS-01050-C3G4C0,Courts
CAS-01051-L1D9Q1,Courts
CAS-01052-D5V7J7,Courts
CAS-01053-H6Y8Z2,Courts
CAS-01054-Q9S4L3,Courts
CAS-01055-V6W2D7,Courts
CAS-01057-F5P4R8,Courts
CAS-01058-C3N4K0,Courts
CAS-01059-Q3D7T6,Courts
CAS-01060-T4L2L4,Courts
CAS-01061-V0R5Y4,Courts
CAS-01062-P6N3K3,Courts
CAS-01066-T4B3C0,Courts
CAS-01067-R3T8F3,Courts
CAS-01069-S2N2C0,Courts
CAS-01070-Z7K7J4,External Agency
CAS-01071-R0J8K3,External Agency
CAS-01072-H8T6G5,Direct Intake
CAS-01073-Q8F2C4,External Agency
CAS-01074-H4X9Z3,External Agency
CAS-01075-D4K7F1,External Agency
CAS-01076-M7L4L1,External Agency
CAS-01077-T9J0R1,External Agency
CAS-01078-Q0F7B8,Direct Intake
CAS-01079-Q3X6P7,External Agency
CAS-01080-F3F8X2,External Agency
CAS-01081-Z0X8R3,External Agency
CAS-01082-D6Z2Z6,External Agency
CAS-01083-N5M8C0,Direct Intake
CAS-01084-V1V9S4,External Agency
CAS-01085-Y5M0X8,Courts
CAS-01086-T8H4G5,Courts
CAS-01087-Z9W6W3,Courts
CAS-01088-B8D7B5,Courts
CAS-01089-H8Q6K0,Courts
CAS-01090-Q1X0Y3,Courts
CAS-01091-Z2B4G1,External Agency
CAS-01092-M7Q1D6,External Agency
CAS-01093-L2D5K3,External Agency
CAS-01094-T9R9X1,Courts
CAS-01095-X4K8T9,Courts
CAS-01096-F3Z8P7,Courts
CAS-01097-L6N7C5,Courts
CAS-01098-V7Q3L9,Courts
CAS-01099-F1Q7L8,Courts
CAS-01100-Y3P3B2,External Agency
CAS-01101-M8L0L2,Direct Intake
CAS-01102-S6C8J0,Courts
CAS-01103-H2B1X3,External Agency
CAS-01104-V7F2B2,External Agency
CAS-01105-Q6Z3H2,Direct Intake
CAS-01106-B9R6P2,Direct Intake
CAS-01107-B8J1Z3,Courts
CAS-01108-F9T6H3,Courts
CAS-01109-Q0V4B3,Courts
CAS-01110-G0F1Y4,Courts
CAS-01111-N8Q1F7,Courts
CAS-01112-L4L0K5,Direct Intake
CAS-01113-V1B6F5,Direct Intake
CAS-01114-Z4G8D1,Direct Intake
CAS-01115-S3Q6G9,Courts
CAS-01116-N8L7Q1,Courts
CAS-01117-Q2K9D5,Courts
CAS-01118-D8Y0V6,Courts
CAS-01119-X5X4Q3,Courts
CAS-01120-C4Q5D6,Courts
CAS-01121-Y7N8V1,Courts
CAS-01122-C7Y6V1,Courts
CAS-01123-D5V6Q5,Courts
CAS-01124-K5W4N8,Courts
CAS-01125-K2Y8B2,Direct Intake
CAS-01126-B5D2V4,Direct Intake
CAS-01127-H8V4J0,Courts
CAS-01128-Y9X2F4,Courts
CAS-01129-F5F5V5,External Agency
CAS-01130-S0J4K8,External Agency
CAS-01131-K1J0W0,External Agency
CAS-01132-V7D1D8,External Agency
CAS-01133-N1F0F9,Direct Intake
CAS-01134-R8S6F9,Direct Intake
CAS-01135-C4J5L5,Direct Intake
CAS-01136-V9G1N7,Direct Intake
CAS-01137-C1B7H0,Direct Intake
CAS-01138-T5Q2W5,Direct Intake
CAS-01139-Z3Q6T6,External Agency
CAS-01140-N2K1Y5,Direct Intake
CAS-01141-J8C3G9,External Agency
CAS-01142-R0H4B6,Direct Intake
CAS-01143-D9N0X4,External Agency
CAS-01144-Q2M6P2,External Agency
CAS-01145-F6D1M5,External Agency
CAS-01146-S5W7R5,External Agency
CAS-01147-Q0L5C8,Direct Intake
CAS-01148-V1V8P3,Direct Intake
CAS-01149-V0V0D5,External Agency
CAS-01150-W0L8S4,Direct Intake
CAS-01151-D3Y9T0,Courts
CAS-01152-L4P8Q8,Courts
CAS-01153-Z4H3T1,Courts
CAS-01154-C1H6G9,Courts
CAS-01155-B2B8C4,Courts
CAS-01156-X8D1K1,Courts
CAS-01157-N8X0B3,Courts
CAS-01158-X5S7G9,Courts
CAS-01159-Q4K0C6,Courts
CAS-01160-G7Y3H9,Courts
CAS-01161-Y1F6S7,Courts
CAS-01162-N6D9F4,Direct Intake
CAS-01163-F8H2G9,External Agency
CAS-01164-L9G6R4,Courts
CAS-01165-V2N5W5,External Agency
CAS-01166-P7Y1W5,External Agency
CAS-01167-F9X6W3,External Agency
CAS-01168-B0F9D3,Direct Intake
CAS-01169-B2P3K6,External Agency
CAS-01170-X8V0J1,External Agency
CAS-01171-X4Z6G9,Direct Intake
CAS-01172-H0N3F0,Direct Intake
CAS-01173-H1T2M2,Direct Intake
CAS-01174-N7S7R9,External Agency
CAS-01175-H4T3S0,Direct Intake
CAS-01176-R7X9C5,External Agency
CAS-01177-G2Z1N7,Direct Intake
CAS-01178-V4S9G4,External Agency
CAS-01179-C9Q4H2,External Agency
CAS-01180-S7S7H9,External Agency
CAS-01181-R6L8V5,Direct Intake
CAS-01182-P2T1N0,External Agency
CAS-01183-J2C9F3,Direct Intake
CAS-01184-M6D0F5,External Agency
CAS-01185-W1Z7P7,Direct Intake
CAS-01186-G3D9J0,External Agency
CAS-01187-L8F3X1,External Agency
CAS-01188-M4Q5V2,Courts
CAS-01189-M2H0L5,Courts
CAS-01190-N0G6L6,Direct Intake
CAS-01191-G7K1K0,Courts
CAS-01192-C8Q4C6,External Agency
CAS-01193-H1H9Z4,External Agency
CAS-01194-M0Q0W8,Courts
CAS-01195-P8Q4X8,Courts
CAS-01196-X3B8Q5,Courts
CAS-01197-G7S3N9,Courts
CAS-01198-G7Q9W8,Courts
CAS-01199-Q9K5H0,Courts
CAS-01200-V5G1K4,Courts
CAS-01201-F2F9D3,Courts
CAS-01202-B4X8L2,Courts
CAS-01203-Z8S8G4,Courts
CAS-01204-Z0V2R0,Courts
CAS-01205-Q5Z5M6,Courts
CAS-01206-F0S6N1,Courts
CAS-01207-V4Z7R0,Courts
CAS-01208-L9F9N8,Courts
CAS-01209-X9Y5L4,Courts
CAS-01210-W0C6Y9,External Agency
CAS-01211-Y8N2J1,Courts
CAS-01212-V5N6B1,Courts
CAS-01213-Q5Q6B6,Courts
CAS-01214-G1H1D5,Courts
CAS-01215-V2Q2X9,Courts
CAS-01216-V5W1W0,Direct Intake
CAS-01217-T3P0P0,Direct Intake
CAS-01218-L7Q5V7,Courts
CAS-01219-H2N6D6,Courts
CAS-01220-T5X1J2,Courts
CAS-01221-H7Y6W1,Courts
CAS-01222-H5S3G0,Courts
CAS-01223-X6S4Z7,Courts
CAS-01224-X8G2J2,Courts
CAS-01225-M7F8V8,Courts
CAS-01226-K2G0K1,Courts
CAS-01227-H6R4Y8,Courts
CAS-01228-Q0S3F9,Courts
CAS-01229-S5D6M9,Courts
CAS-01230-Y6K3R4,Courts
CAS-01231-Y7K9T4,Direct Intake
CAS-01232-X2F6C7,Direct Intake
CAS-01233-J3Y3F7,Direct Intake
CAS-01234-N5J8D9,Direct Intake
CAS-01235-W5J4X2,Direct Intake
CAS-01236-F1V8W3,Direct Intake
CAS-01237-D0Q7Z1,Direct Intake
CAS-01238-W4B4Q0,External Agency
CAS-01239-B5R7K6,External Agency
CAS-01240-W8H0F8,External Agency
CAS-01241-M6X2X5,External Agency
CAS-01242-F8P0D1,Direct Intake
CAS-01243-W2X6S4,Direct Intake
CAS-01244-B4C0N9,External Agency
CAS-01245-H1W4Y7,Direct Intake
CAS-01246-R0W3F5,Direct Intake
CAS-01247-V3L0B6,Direct Intake
CAS-01248-B1H5C6,Direct Intake
CAS-01249-V3S5N8,Direct Intake
CAS-01250-Q9B3W4,Direct Intake
CAS-01251-Q3B2D2,External Agency
CAS-01252-B1T4P2,External Agency
CAS-01253-F6H0P6,External Agency
CAS-01254-T0R0F7,Courts
CAS-01255-M9J6T9,Courts
CAS-01256-G2T5L5,Courts
CAS-01257-S0W5Q5,Courts
CAS-01258-F0X1Y8,Courts
CAS-01259-P8C3X9,Courts
CAS-01260-Q6B8S6,Courts
CAS-01261-T6W6H7,Courts
CAS-01262-S1Q2D8,Courts
CAS-01263-D6T9D1,Courts
CAS-01264-W8K3F6,Courts
CAS-01265-D4L6K5,Courts
CAS-01266-W9C2Z6,Direct Intake
CAS-01267-Q6P8B3,External Agency
CAS-01268-C7C5X9,External Agency
CAS-01269-H3V3D2,External Agency
CAS-01270-L6L9H7,Direct Intake
CAS-01271-C4W1T5,Direct Intake
CAS-01272-D7D4Y5,Direct Intake
CAS-01273-M2N2F4,External Agency
CAS-01274-F7L3R7,Direct Intake
CAS-01275-J6X9N3,Direct Intake
CAS-01276-H1P8K9,Direct Intake
CAS-01277-L3K5Z0,External Agency
CAS-01278-D8K8X4,External Agency
CAS-01279-B9V6Q1,Direct Intake
CAS-01280-T1V1B9,Direct Intake
CAS-01281-R6X0J2,External Agency
CAS-01282-Y3B7S1,External Agency
CAS-01283-R5G2N2,External Agency
CAS-01284-Z2K1T7,External Agency
CAS-01285-B9D2C2,External Agency
CAS-01286-T5X6F0,External Agency
CAS-01287-V2R9J9,Courts
CAS-01288-L5D0V5,Courts
CAS-01289-R6B3Z9,Courts
CAS-01290-J3D1L8,Courts
CAS-01291-J0R4Q6,Courts
CAS-01292-P8S3C8,Courts
CAS-01293-Y8S6L0,Courts
CAS-01294-S4M2B2,Courts
CAS-01295-J2C2P5,Courts
CAS-01296-R4L9P3,Courts
CAS-01297-L1K0R4,Courts
CAS-01298-N1V7R6,Courts
CAS-01299-P3N7N6,Courts
CAS-01300-X3W7K3,Courts
CAS-01301-D5K2L0,Courts
CAS-01302-J0M4T2,Courts
CAS-01303-M5P9L4,Courts
CAS-01304-Q8F6J7,Courts
CAS-01305-C8J5S0,Courts
CAS-01306-Z2B9R7,Courts
CAS-01307-B6Z8P2,Courts
CAS-01308-Y2M8D1,Courts
CAS-01309-H8H7W5,Courts
CAS-01310-C6J4R9,Courts
CAS-01311-K6M0X3,External Agency
CAS-01312-K7K6W0,External Agency
CAS-01313-F8S7Q4,External Agency
CAS-01314-Y0C8R7,External Agency
CAS-01315-W8V0N9,External Agency
CAS-01316-B1B5N3,External Agency
CAS-01317-G1V0G7,External Agency
CAS-01318-C3F8Q3,External Agency
CAS-01319-M4B7Q1,External Agency
CAS-01320-K2S7S9,Direct Intake
CAS-01321-S9Z1W5,Direct Intake
CAS-01322-Y6X3W8,Courts
CAS-01323-H8P3B7,Courts
CAS-01324-N0C0H5,Courts
CAS-01325-X9G1X2,Courts
CAS-01326-T7B1C6,Courts
CAS-01327-R7N6L4,Courts
CAS-01328-H9K2L5,Courts
CAS-01329-R4N3V8,Courts
CAS-01330-S2Q0Y9,Courts
CAS-01331-R6Z9S3,Courts
CAS-01332-V3Q1L7,Courts
CAS-01333-J7V7L7,Courts
CAS-01334-D3Z2Z6,Courts
CAS-01335-M2J9T5,Courts
CAS-01336-V4J0M6,Courts
CAS-01337-V0S1M6,Courts
CAS-01338-F9J1J5,Courts
CAS-01339-M2Z1W1,Courts
CAS-01340-L8Z9C9,Direct Intake
CAS-01341-X0V7J4,External Agency
CAS-01342-S9H1F7,Direct Intake
CAS-01343-Q2M3C9,External Agency
CAS-01344-W9X8M3,External Agency
CAS-01345-X7C1D3,Direct Intake
CAS-01346-S7B3V7,Direct Intake
CAS-01347-N5G9V8,External Agency
CAS-01348-T5X3L3,Direct Intake
CAS-01349-K1G3R6,Direct Intake
CAS-01350-J1K4K3,Direct Intake
CAS-01351-Z8R8R2,External Agency
CAS-01352-N0H3Z5,External Agency
CAS-01353-K4Q3F5,External Agency
CAS-01354-F6M5B8,External Agency
CAS-01355-P8H4T2,External Agency
CAS-01356-Q7P3V3,Direct Intake
CAS-01357-H1Y7P4,Direct Intake
CAS-01358-S4L3Z3,Direct Intake
CAS-01359-B0Z5D7,External Agency
CAS-01360-P0D3J2,External Agency
CAS-01361-R0M4D2,Direct Intake
CAS-01362-V0B7G1,External Agency
CAS-01363-C2M0F7,External Agency
CAS-01364-D5B5T4,External Agency
CAS-01365-D7K9X7,External Agency
CAS-01366-C4F6M9,External Agency
CAS-01367-Y6K5F2,External Agency
CAS-01368-B7G7K4,External Agency
CAS-01369-D7K0Q7,Direct Intake
CAS-01370-P5Q3B9,Direct Intake
CAS-01371-G7P3Z1,External Agency
CAS-01372-B2B7G7,Courts
CAS-01373-P9G5Z5,Courts
CAS-01374-V7G3C3,Courts
CAS-01375-R9Z9G5,Courts
CAS-01376-S9Y5X2,Courts
CAS-01377-K8M2M3,Courts
CAS-01378-N6B5Y4,Courts
CAS-01379-B6Q5Z1,Courts
CAS-01380-T6P1H3,Courts
CAS-01381-Y6D5C8,Courts
CAS-01382-X7Q5R1,Courts
CAS-01383-F7Y1B2,Courts
CAS-01384-M7B9N3,External Agency
CAS-01385-Q7Z2J0,Direct Intake
CAS-01386-Z0T9H0,Direct Intake
CAS-01387-J0X7M9,Direct Intake
CAS-01388-W8H5B6,Direct Intake
